"ID_LOG","TIMESTAMP_DECISAO","COMANDO_BOMBA","FONTE_DECISAO","CONDICAO_METEO_DESC","UMIDADE_AR_API","TEMPERATURA_API","ID_TEMPO_API"
63,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
64,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
65,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
66,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
67,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
68,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
69,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
70,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
71,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
72,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
73,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
74,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
75,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
76,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
77,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
78,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
79,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
80,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
81,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
82,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
83,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
84,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
85,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
86,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
87,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
88,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
89,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
90,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
91,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
92,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
93,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
94,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
95,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
96,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
97,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
98,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
99,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
100,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
101,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
102,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
103,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
104,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
105,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
106,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
107,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
108,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
109,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
110,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
488,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
489,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
490,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
491,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
492,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
493,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
494,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
495,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
496,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
497,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
498,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
499,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
500,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
501,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
502,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
503,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
504,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
505,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
506,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
507,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
508,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
509,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
510,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
511,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
512,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
513,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
514,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
515,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
516,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
517,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
518,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
519,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
520,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
521,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
522,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
523,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
524,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
525,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
526,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
527,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
528,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
529,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
530,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
531,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
2,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
3,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
4,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
5,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
6,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
7,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
8,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
9,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
10,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
11,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
12,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
13,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
14,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
15,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
16,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
17,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
18,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
19,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
20,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
21,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
22,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
23,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
24,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
